Team.ID,In.Out.S3,In.Out.S4,Team_____________,MTPerf,FINPerf,Familiarity,KS1,KS2,CU1,Influence,CU2,TI,GI,TO,IC,EC,Comm,Plan,Items_____________,RATER.KS1.1_mean,RATER.KS1.2_mean,RATER.CU1.1_mean,RATER.CU1.2_mean,RATER.CU1.3_mean,RATER.CU1.4_mean,RATER.INFL.1_mean,RATER.INFL.2_mean,RATER.INFL.3_mean,RATER.INFL.4_mean,RATER.INFL.5_mean,RATER.KS2.1_mean,RATER.KS2.2_mean,RATER.CU2.1_mean,RATER.CU2.2_mean,RATER.CU2.3_mean,RATER.CU2.4_mean,t__TeamRef_mean,TI.1_mean,TI.2_mean,TI.3_mean,TI.4_mean,TI.5_mean,TI.3r_mean,GI.1_mean,GI.2_mean,GI.3_mean,TO.1_mean,TO.2_mean,TO.3_mean,TO.2r_mean,TO.3r_mean,CoDy.1_mean,CoDy.2_mean,CoDy.3_mean,CoDy.4_mean,CoDy.5_mean,CoDy.3r_mean,CoAnt.1_mean,CoAnt.2_mean,CoAnt.3_mean,CoAnt.4_mean,CoAnt.5_mean,Comm.1_mean,Comm.2_mean,Comm.3_mean,Comm.4_mean,Comm.5_mean,Comm.6_mean,Comm.6r_mean,Plan.1_mean,Plan.2_mean,Plan.3_mean,Plan.4_mean,Plan.5_mean,Plan.6_mean,filter_$,X,Y,M1,W1,M2,COV1
1111,1,1, ,85.5,90,1.25,3.84375,3.875,3.40625,3.8,3.35,3.68,4.333333333,3.65,4.095,3.333333333,3.2,3.466666667, ,4,3.6875,3.4375,3.3125,3.4375,3.4375,3.6,4.7,4.35,3.25,3.1,4,3.75,3.4,2.9,3.4,3.7, ,4,4,3.6,3.2,3.6,2.4,4.4,4.4,4.2,3.8,3.5,2.5,2.6,3.4,4.2,3.2,3.75,3.8,3.8,2.4,4.6,3.8,4.6,4.8,4.4,3.6,1.8,3.6,4,3,2.5,3.2,4.2,3.8,4.4,2,3.6,2.8,1,3.6875,90,3.40625,3.68,4.095,1.25
1112,1,1, ,86,85,1.5,2.875,3.875,3.0625,3.466666667,3.166666667,4.4,4,4.333333333,3.875,3.3,3.1,3.5, ,2.8125,2.9375,3.25,3,3.166666667,2.833333333,3.333333333,3.75,4,3.166666667,3.083333333,3.666666667,4.083333333,3.333333333,3.25,2.583333333,3.5, ,4.25,4.5,4.5,4.25,4.5,2.25,4.25,3.75,4,4,4.666666667,3,1.75,3,4.25,3.25,4,3.5,4.75,2.25,3.75,3.5,4.25,3.75,3.75,3.75,2.75,3.25,3.5,2.25,4,2.25,4.5,4.5,3.75,2,3,3.25,1,2.9375,85,3.0625,4.4,3.875,1.5
1113,1,1, ,90.15333333,83,1.45,4.4,3.8,4.015625,3.54,3.5625,3.64,3.666666667,3.8,3.74,3.51,3.32,3.7, ,4.35,4.45,3.75,4.3125,3.75,4.25,3.3,3.8,4,3.3,3.3,3.55,4.05,3.6,3.5,3.3,3.85, ,4.4,3.4,3,4,3.4,3,3.4,3.8,3.8,3.6,4,3.5,2.4,2.6,3.6,3.2,3.4,3,4,2.6,4,3.6,4.2,4.2,4.2,4,2.4,3.2,3.6,3.4,2.5,3.2,4.8,4.6,4,2,3.4,3.4,1,4.45,83,4.015625,3.64,3.74,1.45
1114,1,1, ,82.5,85,1.45,4.45625,4.05,3.375,4.05,3.925,3.573333333,3.8,3.1,3.586666667,3.596666667,3.16,4.033333333, ,4.6,4.3125,3.666666667,3.333333333,3.333333333,3.166666667,3.65,4.55,4.45,3.9,3.7,4.1,4,4.1,3.8,3.8,4, ,4,3.8,2.666666667,3.6,3.8,3.25,3.6,4,3.8,3,3.2,2.666666667,2.8,3.2,4,3.2,2.666666667,3.6,3.2,3.2,3.8,4,4.6,3,3.8,3.4,2,3.6,4.4,2.4,2.333333333,3.4,4.6,4.8,4.4,2.4,4.2,3.8,1,4.3125,85,3.375,3.573333333,3.586666667,1.45
1115,1,1, ,84.83333333,85,1.375,3.35625,3.114583333,3.04375,2.975,2.609375,3.3,4.333333333,3.541666667,3.375,2.808333333,2.45,3.166666667, ,3.15,3.5625,3.175,3.05,2.9,3.05,2.9375,3.125,3.375,2.75,2.6875,3.1875,3.041666667,3.0625,2.4375,2.4375,2.5, ,3.75,3.25,3,3.75,2.75,3,4.25,4.25,4.5,3.75,3.333333333,3,2.75,3,3.25,2.75,2.5,3.25,4,3.5,3,3,3.75,4,4.25,2.5,2,2.5,2.75,2.5,3,3,4.25,4.25,3.75,1.5,2.5,2.75,1,3.5625,85,3.04375,3.3,3.375,1.375
1116,1,1, ,86.66666667,87,1.15,4.6,4.075,3.5125,3.71,3.3625,3.2,4.2,3.125,4.22,3.43,3.36,3.5, ,4.6,4.6,3.55,3.45,3.2,3.85,4.2,4.6,4.45,3.05,2.25,4.2,3.95,3.55,3.25,2.85,3.8, ,4.2,3.6,2,3.4,2.8,3.6,4.2,4.2,4.2,3,3.25,3,2.8,3,4.6,4.2,4,4.6,4.8,2.2,4.2,4,3.8,4,4,3,3,3.8,3.8,3.2,4,2.2,4.6,4.4,4,2.4,2.8,2.8,1,4.6,87,3.5125,3.2,4.22,1.15
1117,1,1, ,89.5,93,1,3.25,3.510416667,3.75,3,3.223958333,3.5,3.75,3.75,3.6,2.916666667,2.5,3.333333333, ,3.125,3.375,3.625,3.75,3.6875,3.9375,3,3.375,3.3125,2.6875,2.625,3.3125,3.708333333,3.3125,3.583333333,2.875,3.125, ,4,4.25,3,3.5,2.75,3,3.75,4,3.5,3.5,4,3,2.25,3,3.5,3,3,3.5,3.25,3,3.75,3,4.25,4.5,4.25,2.75,2,2.25,3.5,2,3.333333333,2.75,4.25,4.5,3.75,2,2.75,2.75,1,3.375,93,3.75,3.5,3.6,1
1118,1,1, ,87,87,1.8,4.575,3.625,3.9375,3.79,3.9125,3.72,3.933333333,4,3.96,3.686666667,3.64,3.733333333, ,4.45,4.7,3.95,4.2,3.85,3.75,3.6,4.05,4,3.6,3.7,3.45,3.8,3.95,3.9,3.8,4, ,3.4,4.4,4,3.2,3.6,2.4,3.2,4.6,4,4,4,2,2.6,3.4,4,3.4,4.4,3.4,4.2,1.6,4.2,4,3.8,4,4.2,4.2,2.6,4,4,3.4,4.25,2,4.8,4.8,4.4,2.6,2.8,3,1,4.7,87,3.9375,3.72,3.96,1.8
1121,1,1, ,89.44,93,1.3,4.25,3.8,3.7625,3.68,3.6,3.76,4.333333333,4.366666667,3.88,3.38,3.16,3.6, ,4.3,4.2,3.7,3.55,3.95,3.85,3.6,4,3.85,3.6,3.35,3.65,3.95,3.6,3.45,3.85,3.5, ,4,3.8,3.6,3.8,3.6,2.4,4.2,4.2,4.6,4.4,4.333333333,4,2.2,2.6,4,3.4,3,3.8,3.8,3,4.2,4,4.4,3.8,4.4,3.4,2,3.4,3.6,3.4,2.333333333,3.4,3.8,4.2,3.6,3,3.4,3.6,1,4.2,93,3.7625,3.76,3.88,1.3
1122,1,1, ,92.17,87,1.35,3.96875,3.275,3.333333333,3.24,3.2,3.4,4.333333333,2.666666667,3.586666667,3.19,2.68,3.7, ,4.0625,3.875,3.083333333,3.166666667,3.583333333,3.5,3.2,3.5,3.35,3.05,3.1,3.45,3.1,3.2,3,3.2,3.4, ,4,3.666666667,2.333333333,3.333333333,3.666666667,3.666666667,4.333333333,4.333333333,4.333333333,3.333333333,2,2,3.666666667,3.666666667,3.8,3,2.666666667,3,3.4,3.2,4,3.8,3.8,3.8,4.6,2.8,1.8,3,3,2.8,2,3.6,4.4,4.2,4,2.8,3.6,3.2,1,3.875,87,3.333333333,3.4,3.586666667,1.35
